target,INCOME_TYPE,EDUCATION_,CUSTOMER_CATEGORY_,income,DEPENDANT_NUMBER,IS_EMPL,COUNT_ACTIVE_CREDIT_NO_CC,CNT_MNTH_FROM_LAST_PMNT,age,experience,inquiry_14_day,inquiry_21_day,count_mnth_act_passport,UID
0,OTHER,elementary,,140000,0,0,0,34.218548387,38.497103077,4.0601092896,,,10.056007186,7
0,OTHER,elementary,,50000,0,0,,,32.120547945,4.7436035631,,,1.5534246575,18
0,OTHER,elementary,Corporate,183461,0,1,0,1.186984767,44.063013699,0.5121940265,1,1,2.6493150685,23
0,OTHER,elementary,Corporate,183461,0,1,0,1.186984767,44.063013699,0.5121940265,1,1,2.6493150685,24
0,OTHER,elementary,Corporate,102984,0,1,,,34.883928438,6.1195448761,,,1.7579010405,34
0,OTHER,elementary,Corporate,127416,0,1,1,0.9881944444,28.155737705,7.5926641216,1,1,7.8224043716,40
0,OTHER,elementary,,123044,0,0,1,0.9526433692,35.986338798,2.7950819672,0,0,6.0005614193,44
0,OTHER,beginner,Corporate,83623,0,1,1,0.2176299283,28.965596227,3.7158469945,0,0,8.4207650273,56
0,2NDFL,elementary,,34319,0,0,,,38.950684932,4.9191930534,,,11.019178082,57
0,2NDFL,elementary,,147900,0,0,,,37.890410959,8.0602739726,,,12.287671233,59
0,OTHER,elementary,Corporate,66175,0,1,0,7.5651433692,35.819672131,3.1020959653,0,0,10.773328842,66
0,OTHER,elementary,Corporate,59332,0,1,0,34,30.050894528,0.5084287746,0,0,9.845415076,73
0,2NDFL,elementary,,94288,0,0,0,7.5362231183,28.839553859,4.528078449,0,0,8.1287671233,75
0,OTHER,elementary,Corporate,44153,0,0,,,31.857534247,0.4273972603,,,8.9123287671,83
0,OTHER,advanced,Corporate,33699,0,1,1,1.2148073477,39.488397335,1.2883973351,0,0,10.176068568,85
0,2NDFL,advanced,,19323,0,0,2,0.7904121864,52.672131148,12.969945355,0,0,7.2329590538,96
0,OTHER,elementary,Corporate,119790,0,1,0,0.5337365591,41.178164533,5.5644659031,0,0,10.701452205,101
0,OTHER,elementary,Corporate,37018,0,1,1,1.3049955197,34.575342466,2.2849315068,0,0,4.3448461711,114
0,2NDFL,elementary,,35865,0,0,1,0.469422043,31.871584699,6.0008832996,1,1,9.7789654914,117
0,2NDFL,elementary,,36138,0,0,2,0.9825044803,32.265027322,10.066958605,0,0,9.9847668239,124
0,OTHER,elementary,Corporate,52199,0,1,1,2.3384856631,36.707650273,6.4442248671,0,0,11.548334456,127
0,2NDFL,elementary,,67475,0,0,,,40.084931507,6.2821917808,,,9.8741747137,129
0,OTHER,elementary,Corporate,98850,0,1,0,1.4071236559,35.050198368,5.9762257654,0,0,9.5954038476,133
0,OTHER,elementary,Corporate,71326,0,1,0,0.6380824373,28.240437158,1.0017366569,0,0,7.7786885246,135
0,OTHER,elementary,Corporate,71326,0,1,0,0.6380824373,28.240437158,1.0017366569,0,0,7.7786885246,136
0,2NDFL,elementary,,,0,1,6,0.3811827957,31.187341867,2.8558350176,0,0,7.9016393443,144
0,2NDFL,elementary,,114108,0,0,1,1.275,48.235556554,0.956868029,0,0,3.0493150685,148
0,2NDFL,elementary,,,0,1,,,26.4,0.8864061681,,,6.2630136986,154
0,OTHER,elementary,,50000,0,0,,,51.778688525,2.6094243581,,,6.2423010704,159
